post_id,title,post_type,post_date,category,link,excerpt,content,attachment_url
104,Power in Weakness | One Verse Blog - Day 1,post,2017-10-10 21:02:00,One Verse,/blogfeed/2017/10/10/power-in-weakness-one-verse-blog-day-1,Today’s blog is written by Jenn Buxton as she starts of our One Verse series of blogs.,"Today’s Reading “But he said to me, “My grace is sufficient for you, for my power is made perfect in weakness.” Therefore I will boast all the more gladly of my weaknesses, so that the power of Christ may rest upon me. For the sake of Christ, then, I am content with weaknesses, insults, hardships, persecutions, and calamities. For when I am weak, then I am strong.” -2 Corinthians 12:9-10 (ESV) Ever since we were born, society has told us that weakness is bad and inferior. That said, it can be easy to fall into a pit of self-pity or self-doubt when life gets hard. It’s easy to question ourselves – whether it be our abilities, our strengths, or our weaknesses. However, Jesus’ ministry is full of individuals who were seemingly weak, inferior, or disliked. Jesus took the least of these and used them to make an eternal impact for the kingdom. In 2 Corinthians, Paul tells us that when we are weak God can show up and blow our minds. I think we see God’s strength the most in our lives when we ...",
156,attachment-5c4a0eb840ec9a50cd3086ac,attachment,2018-10-15 18:14:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313266064-Q0EALE4DPFJFCNX2HLRW/Blog_black.jpg,exc-5c4a0eb840ec9a50cd3086ac,img-5c4a0eb840ec9a50cd3086ac,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313266064-Q0EALE4DPFJFCNX2HLRW/Blog_black.jpg
157,Goodbye Old Me,post,2018-10-02 18:18:00,,/blogfeed/2018/10/2/goodbye-old-me,Today’s blog is written by Niki Willis. Read as she shares how to walk as new creation and to surrender our ways to God’s when we deal with conflict.,"Today’s blog is written by Niki Willis. Read as she shares how to walk as new creation and to surrender our ways to God’s when we deal with conflict. Today’s Reading “Everything—and I do mean everything—connected with that old way of life has to go. It’s rotten through and through. Get rid of it! And then take an entirely new way of life—a God-fashioned life, a life renewed from the inside and working itself into your conduct as God accurately reproduces His character in you.” -Ephesians 4:22-24 MSG So, you read the title—possibly intrigued, but pretty confident that you know what’s coming next. But do you really? In our current series, My Way , Pastor Gabe is teaching on conflict. I want to be upfront and honest and say that my biggest source of conflict, a majority of the time, is me. When my desires become more important than the needs of others, when I am offended because someone said something that struck a nerve deep down revealing something about myself and I become defensive, I...",
159,attachment-5c1af3cfaa4a99bb24c4ba98,attachment,2018-10-24 00:43:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313254887-X4SBRFODGCRPJ7MQPQ55/Blog_white.jpg,exc-5c1af3cfaa4a99bb24c4ba98,img-5c1af3cfaa4a99bb24c4ba98,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313254887-X4SBRFODGCRPJ7MQPQ55/Blog_white.jpg
160,Conflict,post,2018-10-31 00:42:00,,/blogfeed/2018/10/30/conflict,Today’s blog is written by Allison Poindexter.,"Today’s blog is written by Allison Poindexter. Today’s Reading “David said to Nathan, “I have sinned against the Lord.” And Nathan said to David, “The Lord also has put away your sin; you shall not die. Nevertheless, because by this deed you have utterly scorned the Lord, the child who is born to you shall die.” -2 Samuel 12:13-14 When I was a child, I occasionally attended Sunday school with an aunt when I would stay overnight at her house. The trouble with attending Sunday school irregularly is that I got a somewhat irregular education about famed Bible characters. I remember learning about Bible characters like they were superheroes. I saw illustrations of Moses, staff in hand, standing before the parted Red Sea. I saw Shadrach, Meshach, and Abednego huddled together with flames surrounding them but never hurting them. And I saw the child David, clutching a slingshot, ready to battle the terrifying Goliath. What I didn’t understand then was that the real superhero of these scenarios...",
161,attachment-5c1af3840e2e729c835266cb,attachment,2018-10-31 00:42:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313174114-FUHOO0FTFSJBNSEAU3WH/Blog_red.jpg,exc-5c1af3840e2e729c835266cb,img-5c1af3840e2e729c835266cb,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313174114-FUHOO0FTFSJBNSEAU3WH/Blog_red.jpg
162,Take a Look Inside,post,2018-10-08 18:16:00,,/blogfeed/2018/10/8/take-a-look-inside,Today’s blog is written by Amber Parker on finding ourselves in conflict and taking a look inside.,"Have you ever been a part of a toxic environment? The kind that is full of fighting, gossip, anger, and backbiting? It could be a workplace, a team, or even your home. We have all experienced them. These types of places seem to pull people in and wrap them up in drama. When we are surrounded by unhealthy behavior it is very easy to be sucked right into it. It is also easy to blame our own behavior on the situation, the environment, or the actions of others. This kind of thinking is exactly what James addresses when he writes to the early church. In chapter 4, James begins with this question, “What causes quarrels and what causes fights among you?” Then he gives an answer that probably surprised his readers, “Is it not this, that your passions are at war within you? You desire and do not have, so you murder. You covet and cannot obtain, so you fight and quarrel. You do not have because you do not ask. You ask and do not receive, because you ask with wrongly, to spend it on your own pass...",
163,attachment-5c4a0f200ebbe8f531e24d22,attachment,2018-10-08 18:16:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313900251-HHMIGYRMZ4C6QM5IRPPB/Blog_red.jpg,exc-5c4a0f200ebbe8f531e24d22,img-5c4a0f200ebbe8f531e24d22,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554313900251-HHMIGYRMZ4C6QM5IRPPB/Blog_red.jpg
164,Food is My Love Language,post,2018-11-14 01:40:00,,/blogfeed/2018/11/13/food-is-my-love-language,Today’s blog is written by JaVan Cook. Read as she shares about how preparing and delivering meals are practical ways to communicate care and God’s love to our church family.,"Today’s blog is written by JaVan Cook. Read as she shares about how preparing and delivering meals are practical ways to communicate care and God’s love to our church family. “I give you a new command: Love one another. Just as I have loved you, you are also to love one another. By this everyone will know that you are my disciples, if you love one another.” –John 13:34-35 Food is my love language. Yes, I know it doesn’t make the list made popular by the famous book by Gary Chapman. We’ve all taken the assessments and should find ourselves in one of the five categories: • Words of affirmation • Quality time • Receiving gifts • Acts of service • Physical touch But for me, nothing I do compares to the overwhelming satisfaction I get when I cook for someone, have fellowship with friends, or plan our meals. Even grocery shopping makes me smile. No matter what our cultural background is, the preparation and eating of food is something we all have in common with one another. And it is in the ...",
165,attachment-5c1af30f4fa51aaed2e36e2e,attachment,2018-11-14 01:40:00,,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312627865-E44RE6VWQJHMNPOQLKFE/Blog_white.jpg,exc-5c1af30f4fa51aaed2e36e2e,img-5c1af30f4fa51aaed2e36e2e,http://images.squarespace-cdn.com/content/v1/5c1a639f506fbe5304403734/1554312627865-E44RE6VWQJHMNPOQLKFE/Blog_white.jpg
